sucursal,producto_id,precio
14-1-6,7790080065121,22.9
14-1-6,7790080065190,19.5
14-1-6,7791337601215,14.5
14-1-6,7791337690813,33.9
14-1-6,7791337695719,33.9
14-1-6,0000077919540,13.9
14-1-6,7791337695726,33.9
14-1-6,7791241961047,7.8
14-1-6,7791058002216,7.5
14-1-6,7791058000465,18.9
14-1-6,7791241961054,7.8
14-1-6,7791241000692,8.98
14-1-6,7791058002223,7.5
14-1-6,7790080065374,16.9
14-1-6,7791337601284,14.5
14-1-6,7790080065305,24.9
14-1-6,7791337094024,18.9
14-1-6,7791337094017,18.9
14-1-6,14-1-0000000040006,28.0
14-1-6,14-1-0000000040705,18.0
14-1-6,14-1-0000000040005,22.0
14-1-7,14-1-0000000040020,39.0
14-1-7,14-1-0000000040019,36.0
14-1-7,14-1-0000000040166,15.0
14-1-7,14-1-0000000040050,15.0
14-1-7,7791337910577,20.9
14-1-7,7793940133299,20.9
14-1-7,7790080068474,23.9
14-1-7,7790080065343,16.9
14-1-7,7791337910423,15.5
14-1-7,7791337910416,15.5
14-1-7,7790080065312,24.9
14-1-7,7791337990111,36.9
14-1-7,7791058002414,23.9
14-1-7,7791058002384,23.9
14-1-7,7791058002391,23.9
14-1-7,7791337613027,19.9
14-1-7,7791241961153,13.9
14-1-7,7791058004159,12.5
14-1-7,7790080068443,15.8
14-1-7,7790080068436,15.8
14-1-7,7790080068450,15.8
14-1-7,7791058002209,7.5
14-1-7,0000077919564,13.9
14-1-7,7790080068467,15.8
14-1-7,7790080065176,19.5
14-1-7,7790080065107,22.9
14-1-7,7790080065183,19.5
14-1-7,7791337651227,14.5
14-1-7,7791337690820,33.9
14-1-7,7790080065121,22.9
14-1-7,7790080065152,17.9
14-1-7,7790080065169,17.9
14-1-7,7790080065190,19.5
14-1-7,7791337601215,14.5
14-1-7,7791337690813,33.9
14-1-7,7791337695719,33.9
14-1-7,0000077919540,13.9
14-1-7,7791337695726,33.9
14-1-7,7791241961047,7.8
14-1-7,7791241000685,8.98
14-1-7,7791058002216,7.5
14-1-7,7790080065145,18.9
14-1-7,7791058000465,18.9
14-1-7,7791241961054,7.8
14-1-7,7791241000692,8.98
14-1-7,7791058002223,7.5
14-1-7,7790080065374,16.9
14-1-7,7791337601284,14.5
14-1-7,7790080065299,25.9
14-1-7,7790080065305,24.9
14-1-7,7791337094024,18.9
14-1-7,7791337094017,18.9
14-1-7,14-1-0000000040006,28.0
14-1-7,14-1-0000000040005,22.0
14-1-7,7790080064292,33.9
14-1-7,7791337992627,48.5
14-1-7,7790080064346,33.9
14-1-7,7791337933286,28.8
14-1-7,7791337623255,31.9
14-1-7,7790080067637,43.9
14-1-7,7791058002575,27.9
14-1-7,7790080064322,33.9
14-1-7,7791337623217,31.9
14-1-7,7790080064285,29.98
14-1-7,7791241961368,22.9
14-1-7,7791241961382,22.9
14-1-7,7790080064230,29.98
14-1-7,7790080067934,20.9
14-1-7,7790080067682,28.9
14-1-7,7791241961313,22.9
14-1-7,7791337340022,23.9
14-1-7,7790080067606,39.9
14-1-7,7790080064223,29.98
14-1-7,7790080067927,20.9
14-1-7,7790080067675,28.9
14-1-7,7791337650824,29.9
14-1-7,7791337965621,46.5
14-1-7,7791337642324,34.9
14-1-7,7791337533325,16.5
14-1-7,7790080064278,29.98
14-1-7,7791337533318,16.5
14-1-7,7791241961337,22.9
14-1-7,7791337340015,23.9
14-1-7,7790080064247,29.98
